,word,Spanish-es,emotion,emotion-intensity-score
192,vulgarity,vulgaridad,anger,0.75
193,dontmesswithme,dontmesswithme,anger,0.75
194,crazed,loco,anger,0.75
195,despise,despreciar,anger,0.75
196,horror,horror,anger,0.75
197,aggravating,agravante,anger,0.75
198,revolting,repugnante,anger,0.75
199,fuckedoff,jodido,anger,0.742
200,threat,amenaza,anger,0.742
201,erupt,estallar,anger,0.742
202,screaming,gritando,anger,0.742
203,violence,violencia,anger,0.742
204,horrible,horrible,anger,0.742
205,molestation,acoso,anger,0.742
206,bastards,bastardos,anger,0.741
207,revenge,venganza,anger,0.738
208,catastrophe,catÃ¡strofe,anger,0.735
209,menacing,amenazador,anger,0.735
210,demon,demonio,anger,0.735
211,crushing,aplastante,anger,0.735
212,damn,Maldita sea,anger,0.735
213,persecute,perseguir,anger,0.7340000000000001
214,argue,discutir,anger,0.7340000000000001
215,flog,azotar,anger,0.7340000000000001
216,revolt,revuelta,anger,0.7340000000000001
217,thrash,movimiento de piernas,anger,0.7340000000000001
218,deplore,deplorar,anger,0.7340000000000001
219,warfare,guerra,anger,0.7340000000000001
220,fedup,NO TRANSLATION,anger,0.7340000000000001
221,vehement,vehemente,anger,0.7340000000000001
222,riotous,desenfrenado,anger,0.7340000000000001
223,altercation,altercado,anger,0.7290000000000001
224,warlike,belicoso,anger,0.728
225,shitday,NO TRANSLATION,anger,0.727
226,mutiny,motÃ­n,anger,0.727
227,castrate,castrar,anger,0.727
228,sabotage,sabotaje,anger,0.727
229,malevolent,malÃ©volo,anger,0.721
230,strike,Huelga,anger,0.721
231,disaster,desastre,anger,0.721
232,disastrous,desastroso,anger,0.72
233,tumult,tumulto,anger,0.7190000000000001
234,madden,enloquecer,anger,0.7190000000000001
235,devil,diablo,anger,0.7190000000000001
236,scream,gritar,anger,0.7190000000000001
237,brutal,brutal,anger,0.7190000000000001
238,treachery,traiciÃ³n,anger,0.7190000000000001
239,scorching,abrasador,anger,0.7190000000000001
240,vermin,alimaÃ±as,anger,0.7190000000000001
241,arseholes,arseholes,anger,0.7190000000000001
242,horseshit,mierda de caballo,anger,0.7190000000000001
243,aggravates,agrava,anger,0.7190000000000001
244,spiteful,malÃ©volo,anger,0.7190000000000001
245,slay,matar,anger,0.7190000000000001
246,disdain,desdÃ©n,anger,0.7190000000000001
247,choke,ahogo,anger,0.7190000000000001
248,bastarding,Bastardo,anger,0.7190000000000001
249,mangle,mutilar,anger,0.7140000000000001
250,anarchism,anarquismo,anger,0.7140000000000001
251,mutilation,mutilaciÃ³n,anger,0.7140000000000001
252,criminal,criminal,anger,0.7140000000000001
253,denunciation,denuncia,anger,0.713
254,punch,puÃ±etazo,anger,0.713
255,crucifixion,crucifixiÃ³n,anger,0.7120000000000001
256,virulence,virulencia,anger,0.7120000000000001
257,battled,combatido,anger,0.7120000000000001
258,fatal,fatal,anger,0.7120000000000001
259,holocaust,holocausto,anger,0.7120000000000001
260,blasphemous,blasfemo,anger,0.7120000000000001
261,hurting,lastimando,anger,0.7120000000000001
262,dumbasses,dumbasses,anger,0.7120000000000001
263,dontlikeyou,NO TRANSLATION,anger,0.7120000000000001
264,deranged,trastornado,anger,0.706
265,atrocious,atroz,anger,0.706
266,evil,mal,anger,0.706
267,irritated,irritado,anger,0.706
268,assassin,asesino,anger,0.703
269,dicks,pollas,anger,0.703
270,persecution,persecucion,anger,0.703
271,slayer,asesino,anger,0.703
272,kidnap,secuestrar,anger,0.703
273,scolding,regaÃ±o,anger,0.703
274,intimidation,intimidaciÃ³n,anger,0.703
275,aggravated,agravado,anger,0.703
276,aggression,agresiÃ³n,anger,0.7020000000000001
277,armed,armado,anger,0.7
278,poison,veneno,anger,0.6970000000000001
279,snarling,gruÃ±endo,anger,0.6970000000000001
280,venom,veneno,anger,0.6970000000000001
281,battle,batalla,anger,0.6970000000000001
282,disgruntled,descontento,anger,0.693
283,insidious,insidioso,anger,0.691
284,assailant,agresor,anger,0.691
285,resentment,resentimiento,anger,0.691
286,lynch,linchar,anger,0.69
287,contemptuous,desdeÃ±oso,anger,0.69
288,temper,templar,anger,0.688
289,imprisonment,prisiÃ³n,anger,0.688
290,disparage,menospreciar,anger,0.688
291,bully,matÃ³n,anger,0.688
292,terrible,terrible,anger,0.688
293,lunatic,lunÃ¡tico,anger,0.688
294,curse,maldiciÃ³n,anger,0.688
295,makesmemad,NO TRANSLATION,anger,0.688
296,peeved,furioso,anger,0.688
297,domination,dominaciÃ³n,anger,0.688
298,mad,enojado,anger,0.688
299,infanticide,infanticidio,anger,0.688
300,volatility,volatilidad,anger,0.687
301,eradication,erradicaciÃ³n,anger,0.685
302,tantrum,berrinche,anger,0.682
303,devastate,devastar,anger,0.682
304,eradicate,erradicar,anger,0.682
305,scoundrel,sinvergÃ¼enza,anger,0.682
306,aggressively,agresivamente,anger,0.68
307,agitation,agitaciÃ³n,anger,0.68
308,dictatorship,dictadura,anger,0.6759999999999999
309,irritates,irrita,anger,0.6759999999999999
310,profanity,blasfemia,anger,0.6729999999999999
311,egregious,enorme,anger,0.672
312,expletive,expletivo,anger,0.672
313,nasty,asqueroso,anger,0.672
314,shove,empujÃ³n,anger,0.672
315,shot,Disparo,anger,0.672
316,harmful,perjudicial,anger,0.672
317,aggravation,agravaciÃ³n,anger,0.672
318,contempt,desprecio,anger,0.672
319,poisonous,venenoso,anger,0.672
320,dastardly,ruin,anger,0.672
321,shoot,disparar,anger,0.672
322,corrupting,corrompiendo,anger,0.672
323,condemnation,condenaciÃ³n,anger,0.672
324,wreak,infligir,anger,0.672
325,crushed,aplastada,anger,0.672
326,cruelly,con crueldad,anger,0.672
327,crime,crimen,anger,0.672
328,maniac,manÃ­aco,anger,0.67
329,hateeveryone,NO TRANSLATION,anger,0.667
330,eruption,erupciÃ³n,anger,0.667
331,odious,odioso,anger,0.667
332,shooting,disparo,anger,0.667
333,kick,patada,anger,0.667
334,aggressive,agresivo,anger,0.667
335,combat,combate,anger,0.667
336,shout,gritar,anger,0.667
337,hit,golpear,anger,0.667
338,fight,lucha,anger,0.667
339,cutthroat,asesino,anger,0.667
340,enemy,enemigo,anger,0.667
341,irritable,irritable,anger,0.667
342,punished,castigado,anger,0.662
343,ambush,emboscada,anger,0.6609999999999999
344,yell,grito,anger,0.6609999999999999
345,harass,acosar,anger,0.659
346,malignant,maligno,anger,0.6559999999999999
347,aggressor,agresor,anger,0.6559999999999999
348,antichrist,antecristo,anger,0.6559999999999999
349,gore,sangre,anger,0.6559999999999999
350,incense,incienso,anger,0.6559999999999999
351,expel,expulsar,anger,0.6559999999999999
352,destruction,destrucciÃ³n,anger,0.6559999999999999
353,grudge,resentimiento,anger,0.6559999999999999
354,cranky,de maniÃ¡tico,anger,0.653
355,offended,ofendido,anger,0.652
356,spank,azotar,anger,0.652
357,growl,gruÃ±ido,anger,0.652
358,insurrection,insurrecciÃ³n,anger,0.652
359,reprisal,represalia,anger,0.652
360,slave,esclavo,anger,0.652
361,denounce,denunciar,anger,0.652
362,animosity,animosidad,anger,0.652
363,insulting,insultante,anger,0.652
364,clashing,chocando,anger,0.652
365,growls,gruÃ±idos,anger,0.649
366,executioner,verdugo,anger,0.644
367,twat,coÃ±o,anger,0.644
368,doomsday,DÃ­a del Juicio Final,anger,0.643
369,daemon,demonio,anger,0.6409999999999999
370,obscenity,obscenidad,anger,0.6409999999999999
371,bombard,bombardear,anger,0.6409999999999999
372,spat,freza,anger,0.6409999999999999
373,havoc,estragos,anger,0.6409999999999999
374,feud,feudo,anger,0.6409999999999999
375,grr,grr,anger,0.6409999999999999
376,arson,incendio provocado,anger,0.6409999999999999
377,reprimand,reprimenda,anger,0.6409999999999999
378,expulsion,expulsiÃ³n,anger,0.6409999999999999
379,inexcusable,inexcusable,anger,0.6409999999999999
380,accused,acusado,anger,0.6409999999999999
381,indignant,indignado,anger,0.6409999999999999
382,shackle,encadenar,anger,0.6409999999999999
383,somad,NO TRANSLATION,anger,0.637
384,wound,herida,anger,0.636
385,suicidal,suicida,anger,0.636
386,poisoned,envenenado,anger,0.636
387,batter,masa,anger,0.636
388,kicking,pateando,anger,0.636
389,hanging,colgando,anger,0.636
390,spanking,azotaina,anger,0.636
391,disgusting,asqueroso,anger,0.636
392,combatant,combatiente,anger,0.636
393,frustrated,frustrado,anger,0.636
394,anarchy,anarquÃ­a,anger,0.636
395,glaring,deslumbrador,anger,0.636
396,inflict,infligir,anger,0.633
397,wrecked,destrozado,anger,0.633
398,grievous,grave,anger,0.632
399,prosecute,enjuiciar,anger,0.63
400,agitated,agitado,anger,0.63
401,cheat,engaÃ±ar,anger,0.63
402,swastika,esvÃ¡stica,anger,0.627
403,defamatory,difamatorio,anger,0.625
404,suffocation,asfixia,anger,0.625
405,strife,lucha,anger,0.625
406,provocation,provocaciÃ³n,anger,0.625
407,injure,lesionar,anger,0.625
408,harassing,acosar,anger,0.625
409,scourge,azotar,anger,0.625
410,cursing,maldiciendo,anger,0.625
411,betray,traicionar,anger,0.625
412,indict,procesar,anger,0.625
413,raid,RAID,anger,0.625
414,thundering,tremendo,anger,0.625
415,enslaved,esclavizado,anger,0.625
416,arsehole,gilipollas,anger,0.624
417,insane,insano,anger,0.621
418,fiend,demonio,anger,0.621
419,irritate,irritar,anger,0.621
420,convict,condenar,anger,0.621
421,jerk,imbÃ©cil,anger,0.621
422,theft,robo,anger,0.621
423,retaliation,represalias,anger,0.621
424,deprivation,privaciÃ³n,anger,0.621
425,cussed,terco,anger,0.619
426,turmoil,confusiÃ³n,anger,0.618
427,smack,tortazo,anger,0.615
428,retribution,venganza,anger,0.614
429,twats,twats,anger,0.609
430,intolerable,intolerable,anger,0.609
431,rebellion,rebeliÃ³n,anger,0.609
432,injurious,perjudicial,anger,0.609
433,oppressor,opresor,anger,0.609
434,slavery,esclavitud,anger,0.609
435,irritability,irritabilidad,anger,0.609
436,collision,colisiÃ³n,anger,0.609
437,bitterly,amargamente,anger,0.609
438,gang,pandilla,anger,0.609
439,antagonism,antagonismo,anger,0.609
440,battery,baterÃ­a,anger,0.609
441,adverse,adverso,anger,0.609
442,disgraced,deshonrado,anger,0.608
443,irritating,irritante,anger,0.606
444,revolution,revoluciÃ³n,anger,0.606
445,thug,matÃ³n,anger,0.606
446,diatribe,diatriba,anger,0.606
447,bombardment,bombardeo,anger,0.606
448,blast,explosiÃ³n,anger,0.606
449,irks,irrita,anger,0.606
450,sickening,nauseabundo,anger,0.606
451,discrimination,discriminaciÃ³n,anger,0.606
452,antagonistic,antagonista,anger,0.606
453,ranting,despotricando,anger,0.606
454,asshole,EstÃºpido,anger,0.606
455,frustrate,frustrar,anger,0.604
456,manipulation,manipulaciÃ³n,anger,0.603
457,tension,tensiÃ³n,anger,0.603
458,insult,insulto,anger,0.603
459,bigot,fanÃ¡tico,anger,0.603
460,tiredofit,NO TRANSLATION,anger,0.603
461,hurtful,hiriente,anger,0.603
462,oppression,opresiÃ³n,anger,0.603
463,disgust,asco,anger,0.602
464,spite,despecho,anger,0.6
465,intrusive,intruso,anger,0.598
466,harshness,dureza,anger,0.597
467,slur,calumnia,anger,0.596
468,wretch,desgraciado,anger,0.594
469,inferno,infierno,anger,0.594
470,invasion,invasiÃ³n,anger,0.594
471,puncture,punciÃ³n,anger,0.594
472,miserable,miserable,anger,0.594
473,assail,atacar,anger,0.594
474,storming,asalto,anger,0.594
475,casualty,vÃ­ctima,anger,0.594
476,bitterness,amargura,anger,0.594
477,morbidity,morbosidad,anger,0.594
478,tempest,tempestad,anger,0.594
479,consternation,consternaciÃ³n,anger,0.5920000000000001
480,depraved,depravado,anger,0.591
481,raving,delirante,anger,0.591
482,guillotine,guillotina,anger,0.591
483,guilty,culpable,anger,0.591
484,immoral,inmoral,anger,0.591
485,forcibly,a la fuerza,anger,0.591
486,overpowering,abrumador,anger,0.591
487,accursed,maldito,anger,0.588
488,soannoyed,NO TRANSLATION,anger,0.588
489,recalcitrant,recalcitrante,anger,0.588
490,invader,invasor,anger,0.588
491,scare,susto,anger,0.588
492,screwed,atornillado,anger,0.588
493,indignation,indignaciÃ³n,anger,0.5870000000000001
494,jealousy,celos,anger,0.5870000000000001
495,vexed,enfadado,anger,0.586
496,confront,confrontar,anger,0.5820000000000001
497,brute,bruto,anger,0.581
498,throttle,acelerador,anger,0.579
499,wreck,ruina,anger,0.578
500,revolver,revÃ³lver,anger,0.578
501,slut,puta,anger,0.578
502,yousuck,eres un inÃºtil,anger,0.578
503,damage,daÃ±ar,anger,0.578
504,butcher,Carnicero,anger,0.578
505,conflict,conflicto,anger,0.578
506,shutit,NO TRANSLATION,anger,0.578
507,criminality,criminalidad,anger,0.578
508,bickering,dimes y diretes,anger,0.578
509,pillage,pillaje,anger,0.578
510,blaze,resplandor,anger,0.578
511,shutup,NO TRANSLATION,anger,0.578
512,coup,golpe,anger,0.578
513,contentious,contencioso,anger,0.578
514,incarceration,encarcelamiento,anger,0.578
515,defiant,desafiante,anger,0.578
516,provoking,provocador,anger,0.578
517,lash,latigazo,anger,0.578
518,cancer,cÃ¡ncer,anger,0.5770000000000001
519,frustration,frustraciÃ³n,anger,0.5760000000000001
520,gory,sangriento,anger,0.5760000000000001
521,alienation,alienaciÃ³n,anger,0.5760000000000001
522,discord,discordia,anger,0.5760000000000001
523,disturbance,disturbio,anger,0.5760000000000001
524,grope,ir a tientas,anger,0.5760000000000001
525,condescension,condescendencia,anger,0.5760000000000001
526,pernicious,pernicioso,anger,0.5760000000000001
527,blasphemy,blasfemia,anger,0.5760000000000001
528,discriminate,discriminar,anger,0.5760000000000001
529,chaotic,caÃ³tico,anger,0.5760000000000001
530,gun,pistola,anger,0.5760000000000001
531,standoff,punto muerto,anger,0.5760000000000001
532,dontmess,NO TRANSLATION,anger,0.5760000000000001
533,friggen,NO TRANSLATION,anger,0.575
534,sneer,burla,anger,0.574
535,lunacy,locura,anger,0.574
536,oppressive,opresivo,anger,0.574
537,death,muerte,anger,0.574
538,jab,pinchazo,anger,0.574
539,cursed,maldito,anger,0.574
540,scandalous,escandaloso,anger,0.574
541,monstrosity,monstruosidad,anger,0.574
542,shit,mierda,anger,0.573
543,disparaging,despectivo,anger,0.5710000000000001
544,slash,barra oblicua,anger,0.5710000000000001
545,unfair,injusto,anger,0.5710000000000001
546,gallows,horca,anger,0.57
547,escalate,escalar,anger,0.569
548,intolerant,intolerante,anger,0.564
549,lawlessness,desorden,anger,0.563
550,bluddy,bluddy,anger,0.562
551,perdition,perdiciÃ³n,anger,0.562
552,taunt,pulla,anger,0.562
553,grouchy,malhumorado,anger,0.562
554,torpedo,torpedo,anger,0.562
555,deceived,engaÃ±ado,anger,0.562
556,slander,calumnia,anger,0.562
557,retards,retardados,anger,0.562
558,bearish,osuno,anger,0.562
559,invade,invadir,anger,0.562
560,bellows,fuelle,anger,0.562
561,beast,bestia,anger,0.562
562,frightful,espantoso,anger,0.562
563,derogatory,despectivo,anger,0.562
564,glare,deslumbramiento,anger,0.562
565,arghh,NO TRANSLATION,anger,0.562
566,dreadful,terrible,anger,0.562
567,traitor,traidor,anger,0.562
568,malign,maligno,anger,0.562
569,wrangling,pelea,anger,0.562
570,dissension,disensiÃ³n,anger,0.561
571,banshee,Banshee,anger,0.561
572,shatter,romper,anger,0.561
573,conflagration,conflagraciÃ³n,anger,0.561
574,jeopardize,poner en peligro,anger,0.561
575,thief,ladrÃ³n,anger,0.561
576,rave,delirio,anger,0.561
577,grating,rejilla,anger,0.561
578,devastating,devastador,anger,0.561
579,idiots,idiotas,anger,0.561
580,betrayal,traiciÃ³n,anger,0.561
581,uncontrollable,incontrolable,anger,0.561
582,fits,encaja,anger,0.561
583,cross,cruzar,anger,0.561
584,hurt,herir,anger,0.561
585,disturbed,perturbado,anger,0.5589999999999999
586,subjugation,subyugaciÃ³n,anger,0.5589999999999999
587,stomped,pisoteado,anger,0.557
588,grab,agarrar,anger,0.557
589,ticked,marcado,anger,0.556
590,masochism,masoquismo,anger,0.556
591,grievance,queja,anger,0.556
592,defiance,desafÃ­o,anger,0.552
593,blackmail,chantaje,anger,0.55
594,offensive,ofensiva,anger,0.5489999999999999
595,decry,desacreditar,anger,0.5479999999999999
596,sin,NO TRANSLATION,anger,0.547
597,violation,violaciÃ³n,anger,0.547
598,punishment,castigo,anger,0.547
599,shrill,estridente,anger,0.547
600,fustrated,NO TRANSLATION,anger,0.547
601,darkside,lado oscuro,anger,0.547
602,misery,miseria,anger,0.547
603,frustrates,frustra,anger,0.547
604,disgraceful,vergonzoso,anger,0.547
605,arghhhh,NO TRANSLATION,anger,0.547
606,overbearing,despÃ³tico,anger,0.547
607,disparity,disparidad,anger,0.547
608,confine,confinar,anger,0.547
609,firearms,armas de fuego,anger,0.547
610,ire,NO TRANSLATION,anger,0.547
611,preposterous,absurdo,anger,0.547
612,rebel,rebelde,anger,0.547
613,deceive,engaÃ±ar,anger,0.547
614,stolen,robado,anger,0.546
615,hadenough,NO TRANSLATION,anger,0.546
616,wanker,gilipollas,anger,0.545
617,heated,calentado,anger,0.545
618,ruined,arruinado,anger,0.545
619,menace,amenaza,anger,0.545
620,humiliate,humillar,anger,0.545
621,tackle,entrada,anger,0.545
622,conspirator,conspirador,anger,0.545
623,foul,falta,anger,0.545
624,antagonist,antagonista,anger,0.545
625,resentful,resentido,anger,0.545
626,prejudice,perjudicar,anger,0.545
627,adversary,adversario,anger,0.545
628,argument,argumento,anger,0.545
629,skirmish,escaramuza,anger,0.545
630,callous,calloso,anger,0.545
631,annoyin,NO TRANSLATION,anger,0.545
632,entangled,enredado,anger,0.544
633,robbery,robo,anger,0.544
634,sting,picadura,anger,0.544
635,outcry,grito,anger,0.544
636,grumble,queja,anger,0.544
637,irreconcilable,irreconciliable,anger,0.5429999999999999
638,resistance,resistencia,anger,0.5429999999999999
639,obstructive,obstructivo,anger,0.542
640,dismay,consternaciÃ³n,anger,0.54
641,mob,multitud,anger,0.5379999999999999
642,juststop,NO TRANSLATION,anger,0.537
643,badness,maldad,anger,0.536
644,ridicule,ridÃ­culo,anger,0.534
645,incendiary,incendiario,anger,0.5329999999999999
646,flares,bengalas,anger,0.532
647,degeneracy,degeneraciÃ³n,anger,0.531
648,confinement,confinamiento,anger,0.531
649,exacerbation,exacerbaciÃ³n,anger,0.531
650,prejudicial,perjudicial,anger,0.531
651,uprising,levantamiento,anger,0.531
652,twofaced,NO TRANSLATION,anger,0.531
653,reckless,temerario,anger,0.531
654,unbridled,desenfrenado,anger,0.531
655,allegation,alegaciÃ³n,anger,0.531
656,communism,comunismo,anger,0.531
657,whip,lÃ¡tigo,anger,0.531
658,intruder,intruso,anger,0.531
659,dispute,disputa,anger,0.531
660,belittle,empequeÃ±ecer,anger,0.531
661,bigoted,fanÃ¡tico,anger,0.53
662,offender,delincuente,anger,0.53
663,hassle,molestia,anger,0.53
664,dissonance,disonancia,anger,0.53
665,unjust,injusto,anger,0.53
666,dictatorial,dictatorial,anger,0.53
667,unjustifiable,injustificable,anger,0.53
668,fiesty,NO TRANSLATION,anger,0.53
669,perversion,perversiÃ³n,anger,0.53
670,tackled,abordado,anger,0.53
671,renegade,renegado,anger,0.529
672,hot,caliente,anger,0.529
673,prison,prisiÃ³n,anger,0.529
674,cantstandit,NO TRANSLATION,anger,0.529
675,trespass,pecado,anger,0.529
676,suicide,suicidio,anger,0.521
677,annoy,molestar,anger,0.52
678,leavemealone,DÃ©jame solo,anger,0.517
679,idiotic,idiota,anger,0.516
680,distrust,desconfianza,anger,0.516
681,depravity,depravaciÃ³n,anger,0.516
682,cretins,cretinos,anger,0.516
683,divorce,divorcio,anger,0.516
684,broil,asar,anger,0.516
685,grrr,grrr,anger,0.516
686,venting,desfogue,anger,0.516
687,inimical,hostil,anger,0.516
688,duress,coacciÃ³n,anger,0.516
689,disrespectful,irrespetuoso,anger,0.516
